hypothesis_id,title,subtitle,card_path,providers,total_impact
H0366,H0366 — Provider exceeds specialty 95th percentile (Psychologist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0366.png,14685,490251574783.8701
H0367,H0367 — Provider exceeds specialty 95th percentile (Physical Therapist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0367.png,14685,490251574783.87
H0368,H0368 — Provider exceeds specialty 95th percentile (Occupational Therapist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0368.png,14685,490251574783.8699
H0369,H0369 — Provider exceeds specialty 95th percentile (Speech-Language Pathologist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0369.png,14685,490251574783.87006
H0370,H0370 — Provider exceeds specialty 95th percentile (Home Health Agency),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0370.png,14685,490251574783.86975
H0371,H0371 — Provider exceeds specialty 95th percentile (Community/Behavioral Health),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0371.png,14685,490251574783.8698
H0372,H0372 — Provider exceeds specialty 95th percentile (Pharmacist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0372.png,14685,490251574783.8699
H0373,H0373 — Provider exceeds specialty 95th percentile (Dentist),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0373.png,14685,490251574783.86975
H0374,H0374 — Provider exceeds specialty 95th percentile (Chiropractor),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0374.png,14685,490251574783.8698
H0375,H0375 — Provider exceeds specialty 95th percentile (DME Supplier),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0375.png,14685,490251574783.8699
H0376,H0376 — Provider exceeds specialty 95th percentile (Ambulance),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0376.png,14685,490251574783.86993
H0377,H0377 — Provider exceeds specialty 95th percentile (Skilled Nursing Facility),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0377.png,14685,490251574783.8698
H0378,H0378 — Provider exceeds specialty 95th percentile (Clinic/Center),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0378.png,14685,490251574783.87006
H0379,H0379 — Provider exceeds specialty 95th percentile (Counselor),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0379.png,14685,490251574783.87006
H0380,H0380 — Provider exceeds specialty 95th percentile (Mental Health Counselor),"Top 20 flagged providers · 14685 total · $490,251,574,784 estimated exposure",output/cards/hypotheses/H0380.png,14685,490251574783.8699
H0381,H0381 — Size tier mismatch: High paid but low claims (extreme rate),"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0381.png,964,5493557465.789999
H0382,H0382 — Size tier mismatch: High claims but low beneficiaries (high intensity),"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0382.png,964,5493557465.79
H0383,H0383 — Size tier mismatch: Individual NPI billing at organization scale,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0383.png,964,5493557465.789999
H0384,H0384 — Size tier mismatch: Single procedure code code with > $10M total,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0384.png,964,5493557465.79
H0385,H0385 — Size tier mismatch: Active all 84 months with increasing paid,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0385.png,964,5493557465.79
H0386,H0386 — Size tier mismatch: High paid with very few unique codes,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0386.png,964,5493557465.790001
H0387,H0387 — Size tier mismatch: Many beneficiaries but low total paid,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0387.png,964,5493557465.789998
H0388,H0388 — Size tier mismatch: Extreme paid per claim variance across codes,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0388.png,964,5493557465.79
H0389,H0389 — Size tier mismatch: Individual NPI with large servicing network,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0389.png,964,5493557465.79
H0390,H0390 — Size tier mismatch: Organization with only 1 servicing NPI,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0390.png,964,5493557465.789999
H0391,H0391 — Size tier mismatch: New provider with rapid growth to top tier,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0391.png,964,5493557465.79
H0392,H0392 — Size tier mismatch: High total paid concentrated in single month,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0392.png,964,5493557465.790001
H0393,H0393 — Size tier mismatch: Beneficiary count inconsistent with claims,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0393.png,964,5493557465.789999
H0394,H0394 — Size tier mismatch: Extreme average paid per beneficiary,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0394.png,964,5493557465.79
H0395,H0395 — Size tier mismatch: Unusually many codes for provider type,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0395.png,964,5493557465.789999
H0396,H0396 — Size tier mismatch: Unusually few codes with high paid,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0396.png,964,5493557465.789999
H0397,H0397 — Size tier mismatch: Extreme monthly billing volatility,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0397.png,964,5493557465.790001
H0398,H0398 — Size tier mismatch: Unusually stable high-value billing,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0398.png,964,5493557465.79
H0399,H0399 — Size tier mismatch: Top decile on 5+ metrics simultaneously,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0399.png,964,5493557465.79
H0400,H0400 — Size tier mismatch: Uses rarely-billed codes but has high total paid,"Top 20 flagged providers · 964 total · $5,493,557,466 estimated exposure",output/cards/hypotheses/H0400.png,964,5493557465.789999
H0401,H0401 — Hub with > 50 servicing NPIs (all),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0401.png,1000,77381243881.15
H0402,H0402 — Hub with > 100 servicing NPIs (all),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0402.png,1000,77381243881.14998
H0403,H0403 — Hub with > 200 servicing NPIs (all),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0403.png,1000,77381243881.15
H0404,H0404 — Hub with > 50 servicing NPIs (captive_50pct),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0404.png,1000,77381243881.15001
H0405,H0405 — Hub with > 100 servicing NPIs (captive_50pct),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0405.png,1000,77381243881.15
H0406,H0406 — Hub with > 20 servicing NPIs (high_value_10m),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0406.png,1000,77381243881.15
H0407,H0407 — Hub with > 20 servicing NPIs (high_value_50m),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0407.png,1000,77381243881.15001
H0408,H0408 — Hub with > 20 servicing NPIs (high_value_100m),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0408.png,1000,77381243881.15
H0409,H0409 — Hub with > 50 servicing NPIs (new_24mo),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0409.png,1000,77381243881.15
H0410,H0410 — Hub with > 20 servicing NPIs (rapid_expansion),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0410.png,1000,77381243881.15001
H0411,H0411 — Hub with > 50 servicing NPIs (home_health),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0411.png,1000,77381243881.15
H0412,H0412 — Hub with > 50 servicing NPIs (behavioral),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0412.png,1000,77381243881.15
H0413,H0413 — Hub with > 100 servicing NPIs (individual_npi),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0413.png,1000,77381243881.15
H0414,H0414 — Hub with > 50 servicing NPIs (single_code),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0414.png,1000,77381243881.14998
H0415,H0415 — Hub with > 20 servicing NPIs (multi_state),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0415.png,1000,77381243881.15001
H0416,H0416 — Hub with > 50 servicing NPIs (cross_specialty),"Top 20 flagged providers · 1000 total · $77,381,243,881 estimated exposure",output/cards/hypotheses/H0416.png,1000,77381243881.14998
