row_number,reason,raw_row
31875,servicing_npi,1447348172|A014968200|H2014|2018-08|303|5941|1673412.35
31884,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-06|248|7438|1673109.31
31889,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-05|539|23913|1672844.27
31922,servicing_npi,1992216766|A423525800|S5140|2022-06|217|6229|1671445.26
31949,servicing_npi,1306912282|A423525800|S5140|2021-07|193|5779|1670473.92
31955,servicing_npi,1447348172|A014968200|H2014|2018-04|322|6018|1670273.36
31957,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-02|593|17509|1670165.59
32151,servicing_npi,1477628758|A423525800|T2016|2020-12|182|6073|1663495.15
32240,billing_npi;servicing_npi,A669467502|A669467502|T2028|2019-01|584|29807|1660295.97
32264,servicing_npi,1043385420|A423525800|S5140|2022-02|186|6266|1659157.31
32293,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-06|556|22926|1658101.72
32304,servicing_npi,1043385420|A423525800|S5140|2021-11|183|6663|1657805.98
32368,servicing_npi,1972678266|A423525800|S5140|2021-11|210|9460|1655401.42
32454,servicing_npi,1134200942|A668967200|T2016|2020-05|140|4265|1652285.23
32633,servicing_npi,1134200942|A668967200|T2016|2020-07|139|6136|1645122.09
32691,servicing_npi,1972678266|A423525800|S5140|2022-07|200|5829|1642138.80
32703,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-03|692|19806|1641721.30
32731,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-07|680|19485|1641041.71
32753,servicing_npi,1447348172|A014968200|H2014|2019-04|271|5551|1640210.03
32860,servicing_npi,1972678266|A423525800|S5140|2021-10|201|7407|1636631.72
32870,servicing_npi,1134200942|A668967200|T2016|2020-08|137|4873|1636200.91
32928,servicing_npi,1104991066|A423525800|S5140|2021-09|196|6468|1633776.96
33029,servicing_npi,1134200942|A668967200|S5140|2021-08|128|3907|1630238.53
33127,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-01|543|26863|1627139.74
33261,servicing_npi,1316012263|A423525800|S5140|2022-05|146|4976|1622320.78
33374,servicing_npi,1992216766|A423525800|S5140|2021-12|223|7022|1618509.87
33630,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-08|672|18704|1610608.70
33643,servicing_npi,1316012263|A423525800|S5140|2022-04|151|5069|1610079.84
33707,servicing_npi,1972678266|A423525800|S5140|2022-04|209|6424|1608189.79
33716,servicing_npi,1134200942|A668967200|T2016|2021-01|135|4055|1607982.06
33833,servicing_npi,1447348172|A014968200|H2014|2018-02|317|5289|1604215.73
33907,servicing_npi,1134200942|A668967200|T2016|2020-11|142|4068|1601597.03
34123,servicing_npi,1992216766|A423525800|S5140|2022-07|215|6289|1595037.27
34190,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-05|672|19263|1593019.44
34195,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-02|592|26292|1592843.71
34228,servicing_npi,1134200942|A668967200|T2016|2020-06|140|4163|1591654.72
34295,servicing_npi,1477628758|A423525800|T2016|2020-08|182|6241|1589304.98
34312,servicing_npi,1134200942|A668967200|T2016|2020-09|140|4038|1588774.29
