rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
313,1316206220,INVITAE CORPORATION,CA,114139206.26,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
314,1326170796,"ALL METRO HOME CARE SERVICES OF NEW YORK, INC.",NY,113962029.68,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
315,1689742439,MOSAIC,DE,113928362.10,high,6,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern
316,1467661330,ABLENET INC,MN,113681062.78,high,7,high_risk_category,High confidence; 3+ independent signals; Sudden growth or stop pattern
317,1952528408,HOWARD CENTER INC,VT,113483937.18,high,4,gev_extreme_value,High confidence; 3+ independent signals
318,1437526597,"DEPARTMENT OF DISABILITY AND AGING, TENNESSEE EARLY INTERVENTION SYSTE",TN,112897831.08,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
319,1255617569,NOVOCURE INC.,NH,112604824.25,high,7,high_risk_category,High confidence; 3+ independent signals; Sudden growth or stop pattern
320,1669484473,"MYRIAD GENETIC LABORATORIES, INC.",UT,112591224.10,high,4,iqr_outlier,High confidence; 3+ independent signals
321,1801992631,NYU LANGONE HOSPITALS,NY,112449009.31,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
322,1457410904,"CARING PROFESSIONALS, INC",NY,112237727.29,high,8,high_risk_category,High confidence; 3+ independent signals; Billed every day; Sudden growth or stop pattern
323,1629418835,"MARQUIS HOME CARE, LLC",NY,112045237.46,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
324,1255365599,MOUNT ROGERS COMMUNITY SERVICES,VA,111766663.78,high,4,iqr_outlier,High confidence; 3+ independent signals
325,1124561691,FRIENDS OF CYRUS II,NJ,111550133.51,high,6,zscore_paid_per_bene,High confidence; 3+ independent signals; Sudden growth or stop pattern
326,1811289150,"CALIFORNIA PSYCHCARE, INC.",CA,111474565.87,high,3,iqr_outlier,High confidence; 3+ independent signals
327,1215027966,NEWARK BETH ISRAEL MEDICAL CENTER INC,NJ,111080300.27,high,3,iqr_outlier,High confidence; 3+ independent signals
328,1821275801,THE ROYAL CARE INC,NY,110707428.22,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
329,1558518753,CARDIOVASCULAR INSTITUTE OF SAN DIEGO INC,CA,110614491.51,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
330,1235261009,RUTLAND MENTAL HEALTH SERVICES,VT,110613277.23,high,3,kmeans,High confidence; 3+ independent signals
331,1073576740,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,AZ,110516363.68,high,4,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
332,1023788031,"A BETTER YOU WELLNESS CENTER, LLC",AZ,110387408.81,high,7,addiction_rapid_exit,High confidence; 3+ independent signals; Sudden growth or stop pattern
333,1275197055,"INTELLIRIDE, LLC",IL,110313452.16,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
334,1417065111,"MAXIM HEALTHCARE SERVICES, INC.",FL,110241360.80,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
335,1629141213,PEDIATRIC HOME RESPIRATORY SERVICES LLC,MN,109416144.79,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
336,1235255597,COMMONWEALTH OF MASSACHUSETTS,MA,108846992.11,high,3,iqr_outlier,High confidence; 3+ independent signals
337,1225205354,GREATER NEW YORK HOME CARE LLC,NY,108726789.30,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
338,1376760835,HEALTH CARE & REHABILITATION SERVICES,VT,108473091.87,medium,2,iqr_outlier,Statistical outlier vs peers
339,1689778953,SAGINAW COUNTY COMMUNITY MENTAL HEALTH AUTHORITY,MI,108216083.66,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
340,1255333597,NEW ENGLAND HOME CARE INC.,CT,107929695.34,medium,2,gev_extreme_value,Statistical outlier vs peers
341,1013093616,NATIONAL MENTOR HEALTHCARE NETWORK,FL,107870751.46,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
342,1053342816,SOUTHERN OHIO MEDICAL CENTER,OH,107771736.83,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
343,1093777492,MAIMONIDES MEDICAL CENTER,NY,107264017.17,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
344,1184612764,THE QUEENS MEDICAL CENTER,HI,106612914.55,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
345,1942304126,NEW RIVER VALLEY COMMUNITY SERVICES,VA,106414407.41,high,3,iqr_outlier,High confidence; 3+ independent signals
346,1063630838,DEPARTMENT OF MENTAL HEALTH,MA,106335442.79,high,3,gev_extreme_value,High confidence; 3+ independent signals; Public entity; policy review likely
347,1497136592,"THE ARC OF ESSEX COUNTY, INC",NJ,105953394.84,high,4,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
348,1033201157,"REHABILITATION CENTERS, LLC",MS,105176525.67,medium,2,gev_extreme_value,Statistical outlier vs peers
349,1194994848,"PERSONAL TOUCH HOME CARE OF KY, INC.",KY,105091783.15,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
350,1073535027,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NY,105068274.10,high,7,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
351,1821341298,COUNTY OF SANTA CLARA,CA,104984442.00,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
352,1548431570,"HEART TO HEART HEALTH CARE SERVICES, LLC",NJ,104770866.97,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
353,1215998323,UNIVERSITY HOSPITAL,NJ,104384165.75,high,5,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
354,1609848811,THE MENTAL HEALTH CENTER OF GREATER MANCHESTER,NH,103785861.08,high,3,iqr_outlier,High confidence; 3+ independent signals
