billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1750504064,T2016,2019-07,MA,Case Management Agency,16030048.1,1179,13596.308821034774,7846.885891472868,23,5749.422929561906,6778569.6339534875,2.947741806032998
1922733641,H0038,2022-12,AZ,Community/Behavioral Health,7040314.06,6059,1161.959739230896,45.388098421687374,84,1116.5716408092087,6765307.571662996,0.9858575629396087
1750504064,T2016,2019-12,MA,Case Management Agency,15943717.21,1253,12724.435123703113,7385.838172839506,23,5338.596950863607,6689261.9794320995,2.902866883682422
1750504064,T2016,2020-09,MA,Case Management Agency,16501457.97,1078,15307.474925788498,9133.083119266055,23,6174.3918065224425,6655994.367431193,3.0293685297909976
1518096411,T2016,2021-10,MA,Case Management Agency,16527951.72,1077,15346.287576601671,9225.313111702128,23,6120.974464899544,6592289.498696809,2.2525780918830054
1750504064,T2016,2020-08,MA,Case Management Agency,16829028.88,1064,15816.756466165412,9627.269297188755,23,6189.487168976657,6585614.347791163,2.96982038063172
1750504064,T2016,2020-01,MA,Case Management Agency,16149166.75,1177,13720.617459643161,8126.2595612009245,23,5594.357898442237,6584559.246466513,2.998828128836547
1750504064,T2016,2019-10,MA,Case Management Agency,16203359.04,1181,13720.033056731583,8145.607016129033,23,5574.4260406025505,6583397.153951612,2.9338759850303826
1134260078,A0100,2023-03,MO,Secured Transport,7144694.04,190145,37.5749772016093,3.0282131661442007,45,34.5467640354651,6568894.447523512,0.6755335928088076
1750504064,T2016,2019-11,MA,Case Management Agency,15571204.51,1194,13041.209807370184,7595.105164556962,23,5446.104642813221,6502648.943518986,2.8539302236260844
1750504064,T2016,2020-11,MA,Case Management Agency,17106213.35,1130,15138.241902654869,9389.724041916168,23,5748.517860738701,6495825.182634732,2.7192764205473243
1750504064,T2016,2020-07,MA,Case Management Agency,16710156.67,1016,16447.004596456693,10055.256243386242,23,6391.74835307045,6494016.326719577,2.8820658618174595
1750504064,T2016,2019-08,MA,Case Management Agency,16102765.4,1196,13463.85066889632,8055.835863013698,23,5408.014805882623,6467985.707835617,2.866859583987434
1750504064,T2016,2023-09,MA,Case Management Agency,13256458.77,741,17889.95785425101,9175.177159090908,23,8714.780695160101,6457652.495113635,3.2914046541831476
1750504064,T2016,2020-12,MA,Case Management Agency,17805539.57,1126,15813.090204262879,10109.157086247085,23,5703.933118015793,6422628.690885783,2.588082460334581
1750504064,T2016,2024-03,MA,Case Management Agency,13067146.65,751,17399.662649800266,8860.423902439024,23,8539.238747361242,6412968.299268292,3.4764665946857085
1518096411,T2016,2022-01,MA,Case Management Agency,16393317.75,1033,15869.62028073572,9698.909620253164,23,6170.710660482557,6374344.112278481,2.2363665422028975
1518096411,T2016,2022-03,MA,Case Management Agency,16504202.28,1083,15239.33728531856,9372.610864553315,23,5866.726420765244,6353664.713688759,2.2098492376433185
1750504064,T2016,2019-09,MA,Case Management Agency,15629835.9,1176,13290.676785714286,7893.585040322581,23,5397.0917453917045,6346979.892580644,2.8317349519182486
1750504064,T2016,2024-02,MA,Case Management Agency,12823869.07,741,17306.166086369773,8744.745023809524,23,8561.421062560248,6344013.007357144,3.4548447412760135
1518096411,T2016,2021-11,MA,Case Management Agency,15817566.7,1107,14288.678139114723,8561.30181122449,23,5727.376327890233,6340205.594974488,2.1818519152901956
1518096411,T2016,2021-12,MA,Case Management Agency,16190628.79,1131,14315.321653404066,8756.247396593675,23,5559.074256810391,6287312.984452552,2.0903206391147835
1750504064,T2016,2021-01,MA,Case Management Agency,18062396.6,1104,16360.866485507247,10672.01976284585,23,5688.8467226613975,6280486.781818183,2.726267374333334
1518096411,T2016,2021-09,MA,Case Management Agency,15979746.72,1069,14948.313115060806,9086.859810874705,23,5861.453304186101,6265893.582174943,2.163333172122108
1275849283,00003,2018-08,CA,Family Medicine,19505120.29,70610,276.2373642543549,188.22,69,88.01736425435487,6214906.089999998,0.3195907617366757
1518096411,T2016,2021-08,MA,Case Management Agency,16137802.44,1086,14859.854917127072,9203.360212765958,23,5656.494704361114,6142953.24893617,2.063693388194683
1518096411,T2016,2024-08,MA,Case Management Agency,16242378.78,1109,14645.968241659151,9107.211325,23,5538.756916659151,6142481.4205749985,2.5227600551536002
1518096411,T2016,2021-07,MA,Case Management Agency,16040278.84,1086,14770.05418047882,9130.142488584475,23,5639.9116918943455,6124944.097397259,2.06999856074838
1518096411,T2016,2022-05,MA,Case Management Agency,16565045.72,1146,14454.664677137871,9112.442464183381,23,5342.22221295449,6122186.656045846,2.086658181819025
1750504064,T2016,2020-02,MA,Case Management Agency,14941387.21,1150,12992.510617391305,7681.742227848102,23,5310.768389543203,6107383.647974683,2.701246764533124
