specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Community/Behavioral Health,2018-08,583465126.04,5919096,1654487,4348
Case Management Agency,2019-12,583017561.4799999,4956630,1316998,2230
Case Management Agency,2020-02,581458659.36,5050989,1434770,2277
Case Management Agency,2019-11,577595812.5799999,4942316,1341715,2242
Community/Behavioral Health,2018-03,577355012.86,5978198,1709643,4349
Community/Behavioral Health,2019-02,574944226.02,5754317,1720038,4532
Other,2024-12,574899783.1300001,10823891,7691480,25090
Community/Behavioral Health,2018-04,568983684.95,5916786,1705508,4387
Case Management Agency,2020-04,568243303.03,4609342,1180407,2226
Case Management Agency,2019-08,565521177.7099999,5192454,1148010,2176
Community/Behavioral Health,2018-01,562768899.93,5872615,1682050,4321
Community/Behavioral Health,2018-11,561746577.27,5641262,1643318,4359
Case Management Agency,2019-09,561459958.49,5012798,1229643,2213
Case Management Agency,2019-07,559519142.8499998,5144479,1101688,2178
Community/Behavioral Health,2018-07,555991489.92,5561977,1560394,4321
Community/Behavioral Health,2018-06,552977210.7900001,5578009,1601732,4353
Community/Behavioral Health,2018-12,544252400.6099998,5318528,1580560,4368
Community/Behavioral Health,2018-09,536481763.73,5362373,1548563,4338
Case Management Agency,2019-05,530336133.84,4870341,1115745,2152
Federally Qualified Health Ctr,2023-03,524135265.03000003,10400569,7973364,4335
Federally Qualified Health Ctr,2024-04,521765152.3200001,9991771,7816410,4373
Community/Behavioral Health,2018-02,520482907.57,5445455,1619534,4308
Federally Qualified Health Ctr,2024-05,518647005.31000006,9859400,7727550,4299
Federally Qualified Health Ctr,2024-01,517812323.25000006,10190083,7896451,4381
Clinical Lab,2021-12,516222739.1499999,26340734,22566584,2578
Case Management Agency,2019-04,513286220.52999985,4793206,1111052,2138
Federally Qualified Health Ctr,2023-10,511262117.4000001,9723472,7666421,4436
Federally Qualified Health Ctr,2024-02,509897775.9800001,10139114,7854088,4433
Case Management Agency,2019-03,509354469.8100002,4689591,1091143,2112
Clinical Lab,2021-09,506188714.89,28625527,24026936,2573
Federally Qualified Health Ctr,2023-08,505506895.61999995,10391343,8112199,4288
Case Management Agency,2019-06,505295043.49,4579883,1068022,2124
Case Management Agency,2019-01,503964974.53,4821283,1070305,2086
Federally Qualified Health Ctr,2024-10,497562719.0100001,9853433,8009503,4220
Federally Qualified Health Ctr,2023-05,497515403.85,10014809,7641912,4308
Federally Qualified Health Ctr,2024-03,497061380.32,9730215,7581624,4343
In Home Supportive Care,2024-07,492258692.95000005,3780872,306023,2046
Case Management Agency,2018-10,490943419.9199999,4476308,1022318,2055
Federally Qualified Health Ctr,2022-03,487088383.73999995,9203752,7028945,4148
Federally Qualified Health Ctr,2024-08,485753193.01,9476687,7723798,4169
Case Management Agency,2024-11,484852582.8499999,4021898,1448426,2171
Clinical Lab,2021-08,483749647.8300001,28061008,24242618,2567
In Home Supportive Care,2024-05,481082687.9100001,3770323,304402,2020
Federally Qualified Health Ctr,2023-11,478568995.66999984,9671028,7553950,4386
Clinical Lab,2022-08,478439019.44000006,30125904,25424891,2631
In Home Supportive Care,2024-08,476065668.82,3664973,317482,2051
Clinical Lab,2022-03,475687608.54,30034049,25811668,2603
Clinical Lab,2023-03,475025570.53,31447292,26658365,2599
In Home Supportive Care,2024-10,474142054.99999994,3647143,298156,2074
Case Management Agency,2018-08,472509801.49,4287721,967143,2043
Case Management Agency,2018-12,470512926.06999993,4328434,942231,2036
Federally Qualified Health Ctr,2023-01,470258376.54999995,9463854,7174519,4246
In Home Supportive Care,2024-03,470087447.3199999,3693322,298740,1986
