billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1265169940,NC,Family Medicine,75.0,22241.710000000003,295.5561333333334,618,23.9130607028947
1467225235,CA,Other,555.85,702504.84,1262.8388773949805,5587,23.506623496078742
1609443019,NY,Dentist,150.0,63190.4,420.26933333333335,714,23.495443625381576
1912788464,CT,Other,511.03999999999996,101394.15,197.407463212273,759,23.26208071311649
1578121349,IL,Optometrist,288.08,123215.26999999999,426.71198972507636,604,23.169429681270593
1205455763,IL,Other,634.08,88445.42,138.4862162503154,4835,23.079518274560584
1124798954,CA,Optometrist,10.63,4027.91,377.9190968955785,894,22.823234915514817
1063973485,PA,Emergency Medicine,335.95,37528.619999999995,110.70894478344991,605,22.791024547159388
1700937018,IL,Other,38.76,5302.150000000001,135.79437564499486,4835,22.628679218350303
1730717307,IL,Emergency Medicine,1720.04,79135.57,45.00798237250297,1362,22.57655364354191
1184933830,CA,Family Medicine,19.44,2773.3999999999996,141.6646090534979,917,22.42855611583254
1760425649,NY,Pediatrics,489.45,38740.67,78.15143528450301,866,22.423020610949116
1467100412,TX,Dentist,1126.71,220767.65000000002,194.9400821861881,902,22.330160916659295
1851958854,PA,Optometrist,446.35,148703.5,332.154475187633,548,22.280667662078464
1366158826,CA,Dental Clinic,1300.8,296291.2,226.77613776137764,831,22.176753923907327
1952414393,OH,Other,19.0,14353.0,754.421052631579,1571,21.87702894819562
1225184864,IA,Other,60.03,10535.5,174.503914709312,571,21.637835878671012
1417064049,FL,Home Health Agency,369.79,303333.89,819.2868925606425,467,21.45654865630094
1811306434,WI,Other,26.32,23815.68,903.8510638297872,776,21.41304830005016
1356493373,KY,Other,3112.76,649037.7700000001,207.50877356429666,891,20.97719432179377
1023503885,IL,Internal Medicine,91.6,6979.900000000001,75.19978165938866,2159,20.95985598383998
1700806775,LA,Other,1696.32,164443.00000000003,95.94102527824941,938,20.92566852929199
1205850450,TX,Optometrist,256.51,21082.98,81.19164944836459,843,20.891182299067108
1457840829,IL,Dentist,200.95999999999998,110121.69000000002,546.9781548566881,498,20.763623474668794
1396904256,NY,Cardiovascular Disease,7.37,916.52,123.35820895522387,1028,20.65543161923665
1760974950,IL,Student,66.67,16352.399999999998,244.27373631318432,542,20.632185952767124
1033165949,MA,Other,9.99,1064.35,105.54154154154153,1706,20.45579500127523
1063909042,CA,Home Health Agency,0.01,286738.14,28673813.0,413,20.27266950320207
1477093094,NM,Other,2306.19,529751.56,228.7085495991224,417,19.72408669888326
1679216725,AZ,Other,313.13,40305.29,127.71743365375403,905,19.523136995318644
1245201136,NY,Specialist,6.46,669.88,102.69659442724458,673,19.51478610821728
1477212660,MN,Chiropractor,26.72,3157.27,117.16130239520959,391,19.280465120786356
1760180566,UT,Other,4754.7,423960.11999999994,88.16653416619344,496,19.18080138471865
1568908978,OR,Other,595.79,60286.729999999996,100.18788499303446,637,18.966643566432932
1700519311,CA,Federally Qualified Health Ctr,15575.810000000001,3340395.74,213.46048327502712,573,18.914607579027468
1659505162,OH,Other,207.0,134659.65999999997,649.5297584541062,1571,18.819731945885614
1477232387,CA,Community/Behavioral Health,1266.1100000000001,1323801.8699999999,1044.566238320525,356,18.688941139985843
